ProgramId,Program_Name,Program_link,Tailored_To,Available_In,Genre,Region,Description
13956,Intercultural Competency in the Classroom,https://education.culturalinfusion.com/school-programs/intercultural-competency-in-the-classroom/,"Professional Development, Teachers/Educators","VIC, Virtual",Professional Development,Multicultural,"Designed to support teachers in addressing the Intercultural Capability component of the Australian Curriculum, this live session will provide teachers and educators with the necessary tools to create inclusive and culturally responsive learning environments for students. With its interactive format, including lecture slides, activities, practical resources and engaging discussion, teachers will gain invaluable skills and knowledge to prepare students for our increasingly interconnected world."
13921,Ticket to Cairo!,https://education.culturalinfusion.com/school-programs/ticket-to-cairo/,"Community, Pre Primary, Schools",VIC,"Dance, Music, Storytelling",Africa,"Journey alongside a mesmerising travelling belly dancer! She finds a drum, a sword and a magnificent pair of golden wings in a battered old suitcase. Discover how these objects unlock the secrets of Ancient and modern Egypt, in an engaging music and dance adventure. This program is also available as Magical Wings of Ancient Egypt for a pre-primary audience."
13917,Magical Wings of Ancient Egypt,https://education.culturalinfusion.com/school-programs/magical-wings-of-ancient-egypt/,"Pre Primary, Schools","VIC, Virtual","Dance, Music, Storytelling, Theatre",Africa,"In this pre-primary adaption of Ticket to Cairo! uncover the enchantment of the Magical Wings of Ancient Egypt. Students experience the beauty of the mesmerising theatrical wings, crafted from shimmering metallic fabric, supported by two hand-held sticks. Participants will love learning the easy-to-follow Egyptian dances and twirling their wings to the enchanting rhythms and melodies of The Middle East, creating an array of swirling colours!"
13882,Multicultural Moves,https://education.culturalinfusion.com/school-programs/multicultural-moves/,"Community, Pre Primary, Schools",VIC,"Dance, Music",Multicultural,"Multicultural Moves is a unique interactive program that engages students in popular dance styles from around the world. In this program, students will learn the basic moves of various dance styles such as Jamaican Dancehall, Afro Dance, and Hip-Hop. The presenters will also introduce students to the historical and cultural perspectives and significance of these dances. Multicultural Moves offers tools that go beyond just artistic expression and performance to also support students’ mental wellbeing and improve their social skills and teamwork."
13855,Filipino Music and Storytelling,https://education.culturalinfusion.com/school-programs/filipino-music-and-storytelling/,"Community, Pre Primary, Schools",VIC,"Languages, Music, Storytelling",Asia,"Filipino Music and Storytelling is a captivating program where Filipino language and culture come to life. In this program, students will experience uniquely narrated stories, where they get to jump in oral tales and leap into songs and movements! The presenter also uses ukulele, props, and Kamishibai (paper theatre) to engage students in a celebration of Filipino community, culture, and stories."
13838,"Zumba, Beats & Culture",https://education.culturalinfusion.com/school-programs/zumba-beats-culture/,"Community, Schools",VIC,Dance,Multicultural,"Zumba is an exciting and energetic celebration of culture, incorporating popular international music and modern beats. Zumba is a Latin-inspired total-body workout designed to create a dynamic and fun fitness routine. Our Zumba, Beats and Culture program is modified according to age-appropriate intensities with easy-to-follow moves and tunes. Students will learn a mix of low and high-intensity, interval-style moves, which will increase their coordination and boost their mood. The presenter will also introduce students to various cultures, music, and dance styles from around the world including Latin America, Africa, India, and Turkey."
13816,Chinese Instrumental Duet,https://education.culturalinfusion.com/school-programs/chinese-instrumental-duet/,"Community, Corporate, Schools",VIC,Music,Asia,"Chinese Instrumental Duet is an excellent introduction to Chinese classical music. Exploring various Chinese musical styles and songs, the presenters will engage with traditional Chinese instruments, including wind instruments like the dizi (Chinese flute) and bow instruments like the Erhu (Chinese two-stringed vertical violin)."
13797,Africa meets the Middle East,https://education.culturalinfusion.com/school-programs/africa-meets-the-middle-east/,Schools,"QLD, VIC",Music,Multicultural,"Africa meets the middle east is an engaging program that explores the musical traditions of both regions. The session highlights the similarities and differences between African and Middle Eastern rhythms, instruments, and beats, offering students the opportunity to learn about the key elements that shape different music styles. Delving into sounds and rhythms from both regions, this program will foster a deeper understanding of how music reflects cultural and historical significance. Students will also explore the connections and distinctions between the musical traditions of Africa and the Middle East, gaining a greater appreciation for their shared influences and unique qualities."
13792,Beats around the World,https://education.culturalinfusion.com/school-programs/beats-around-the-world/,Schools,QLD,Music,Multicultural,"Beats around the World is a multicultural percussion program that aims to encourage rhythmic awareness and share different beats, grooves, and rhythms from various parts of the world. Students will explore multicultural beats from the Middle East, Turkey, Balkans, Latin America, India, and Africa. The presenter will share stories from his global journeys and musical encounters. What makes this program special is the eclectic combination of world percussion in one comprehensive session."
13788,Turkish Rhythms,https://education.culturalinfusion.com/school-programs/turkish-rhythms/,Schools,QLD,"Dance, Music",Europe,"Turkish music is influenced by the country’s Turkic, Byzantine, and Ottoman heritage, in addition to its proximity to an intersection of cultures from across Europe, North Africa, and the Middle East. Turkish Rhythms explores Turkish culture using music and dance. Through the beats of the Darbuka, students will learn about the rhythmical elements of percussion such as timing, and experience dances and stories"
13782,"Didgeridoo, Beats and Culture",https://education.culturalinfusion.com/school-programs/didgeridoo-beats-and-culture/,"Community, Corporate, Schools",VIC,"Music, Storytelling",Oceania,"Didgeridoo, Beats and Culture is the perfect introduction to the world’s oldest living culture. The presenter, Ganga, is a descendant of the Palawa people of Tasmania, who fuses this ancient instrument with electronic production and vocals and has presented around the world. Participants will engage with traditional musical instruments, storytelling, and hands-on activities, gaining a deeper appreciation for the world’s oldest living culture."
13754,Chinese Fan Painting,https://education.culturalinfusion.com/school-programs/chinese-fan-painting/,Schools,NSW,Visual Arts,Asia,"Fans are an integral part of Chinese lifestyle and are important artefacts in Chinese history and culture. In this workshop, participants will have the opportunity to decorate paper panels of the folding fan, providing a blank canvas to express their creativity."
13449,Timorese Infusion,https://education.culturalinfusion.com/school-programs/timorese-infusion/,"Assemblies & Events, Corporate, Schools",VIC,Music,Asia,"In our Timorese Infusion workshop, three musicians with roots in Timor-Leste, singer Paulo, guitarist Gil, and percussionist Zeca, play traditional Timorese songs and highlight their historical influences. Featuring music, drumming, and stories, this Timorese trio draw from their rich musical heritage and share their experiences living in Timor-Leste."
13309,Opa! Greek Dance and Culture,https://education.culturalinfusion.com/school-programs/opa-greek-dance-and-culture/,"Assemblies & Events, Community, Pre Primary, Schools",VIC,"Dance, Music",Europe,"In Opa! Greek Dance and Culture, a highly interactive program, children will explore Greek culture and history through traditional music, dance, and storytelling. Children will have the opportunity to participate in the Zorba dance and listen to Greek mythologies and folk songs. They will also be introduced to authentic instruments such as the Baglama, Tzoura and the Cretan Lyra. *This program will be touring NSW during May 2025!"
13298,Boomerang Throwing,https://education.culturalinfusion.com/school-programs/boomerang-throwing/,"Community, Schools","QLD, VIC, Virtual",Wellbeing,Oceania,"Traditionally used as a weapon and a tool for hunting, digging and ceremonies, the Boomerang is created to come back to the person who throws it. By incorporating the cultural significance of the tool, students will learn how and why it is important to engage in safe Boomerang practice and will have the opportunity to use specially designed safe Boomerangs. With this active and educational program, Boomerang Throwing allows students to develop an appreciation for an important aspect of Indigenous culture. As Boomerang Throwing is an outdoor program, our other activity-based program, Indigenous Games can be offered as a wet weather option."
13293,Aboriginal Games,https://education.culturalinfusion.com/school-programs/aboriginal-games/,Community,VIC,Wellbeing,Oceania,"Aboriginal Games is a highly interactive, activity-based program that has been developed to simulate early Aboriginal Australian life experiences. Aboriginal Games provides students with an engaging way to imitate hunting, fishing and gathering, and provides important cultural understandings. All of the materials and resources used within the program are safe alternatives for the real objects. Aboriginal Games can be held indoors/outdoors, depending on weather conditions, and is only suitable to be held in a wide open area, such as a gym or oval."
13282,Dancing around India,https://education.culturalinfusion.com/school-programs/dancing-around-india/,Schools,NSW,Dance,Asia,"Dancing around India, a highly educational and interactive program engages students with diverse aspects of Indian culture. Students discover folk dances from the four regions of the Indian Subcontinent – North, South, East and West and develop a deeper understanding and awareness of the regional cultural differences. Dancing around India helps students to understand why each dance holds cultural significance through the exploration of food, festivals and landmarks from each region. To conclude, students will have the opportunity present their dances in costume!"
13253,Celebrate Christmas with Chris!,https://education.culturalinfusion.com/school-programs/christmas-with-chris/,Pre Primary,VIC,Theatre,Multicultural,"Well-renowned performer Chris brings the delight of the holidays to you with his Christmas “Elf Christo” special. “Elf Christo” is a fun character with lots of Christmas spirit, helping children appreciate the history, customs and traditions of Christmas. A December exclusive, perfect for engaging young children, this magical and interactive Christmas program is brimming with storytelling, juggling and balloon bending."
12892,Commedia dell’Arte,https://education.culturalinfusion.com/school-programs/commedia-dellarte/,"Community, Pre Primary, Schools","NSW, VIC",Theatre,Europe,"Commedia dell’arte began in the 16th century in Italy and its mask theatre became the basis for modern-day comedy and clowning! This Commedia dell’arte solo show introduces the audience to well-known historic Commedia characters such as Pantalone, the grumpy mayor, and the know-it-all il Dottore. Using music, mime, magic and mayhem, Commedia dell’arte is presented as a clowning show full of energy, fun and silliness! This program details the masks themselves, the characterisation of the Commedia characters, and encourages audience participation and circus skills. Commedia dell’arte is a show that all ages can enjoy! *Adaptable to suit pre-primary and lower primary age groups*"
12727,Ethiopian Dance and Culture,https://education.culturalinfusion.com/school-programs/ethiopian-dance-and-culture/,"Assemblies & Events, Community, Corporate, Pre Primary, Schools",VIC,Dance,Africa,"Acclaimed singer and dancer Seble shares the rich diversity of Ethiopian culture to learners of all ages with her highly interactive workshops. In Ethiopian Dance and Culture, Seble will share songs, dance moves and stories from her home country, and from her travels around the world from a very young age with the Ethiopian Circus."
12699,Classic French Music,https://education.culturalinfusion.com/school-programs/classic-french-music-2/,"Pre Primary, Schools",NSW,Music,Europe,"Peter and Marie have been playing live music together since 1969. In Classic French Music they are joined by French cabaret singer Corrine, to present classics of early 20th century Paris. The trio play music from Edith Piaf, Django Reinhardt, Sidney Bechet and Jaqueline Baker and contextualizes the music by introducing the lyrics, instruments and cultural context in French and English according to the student’s level."
12505,Egyptian Rhythms and Dance,https://education.culturalinfusion.com/school-programs/egyptian-rhythms-and-dance/,"Community, Schools",ACT,Dance,Africa,"Egyptian Rhythms and Dance explores Egyptian culture through dance, music and engaging discussion. Students will learn about the cultural significance of regional dances, and the evolution of social folk dance to stage performance. Through percussive instruments and body percussion, students will experience a range of Folkloric dance styles and rhythms from across Egypt. Older students can also delve into the issues of Orientalism and the Western ‘mythstory’ surrounding bellydance (Raks Sharqi). This highly interactive and engaging program can be tailored to suit different age groups."
12503,Vietnamese Classical Music,https://education.culturalinfusion.com/school-programs/vietnamese-classical-music/,"Community, Pre Primary, Schools","NSW, QLD",Music,Asia,"In Vietnamese Classical Music, the presenter will introduce learners to the T’rung (ancient Vietnamese bamboo xylophone) and an assortment of other traditional instruments, through performance, cultural stories, and interactivity! The participants will be exposed to these impressive instruments as they give voice to the beauty of Vietnamese Classical Music and traditions."
12500,Chinese Calligraphy & Brush Ink Painting,https://education.culturalinfusion.com/school-programs/chinese-calligraphy-brush-ink-painting/,"Community, Schools","NSW, VIC",Visual Arts,Asia,"Using brush strokes and painted characters, Chinese Calligraphy & Brush Ink Painting, an interactive workshop focuses on imagery and self-expression. Originating from the year 618, students will learn and explore the significance of Chinese Calligraphy & Brush Ink Painting in Chinese culture."
12498,Brazilian Drumming,https://education.culturalinfusion.com/school-programs/brazilian-drumming/,"Assemblies & Events, Community, Schools",NSW,Music,South America,"Brazilian Drumming is a loud and fabulous introduction to Brazilian culture! The presenters will introduce the history, rhythms and culture of Brazil including Carnival and the famous Olodum drumming group. Presenters will provide metal buckets for the students so they can learn how to drum. They will be taught various Brazilian rhythms in this Brazilian Drumming workshop."
12494,Vietnamese Classical Dance,https://education.culturalinfusion.com/school-programs/vietnamese-classical-dance/,"Assemblies & Events, Community, Pre Primary, Schools","QLD, VIC",Dance,Asia,"Predominantly performed during Lunar New Year and Mid-Autumn Festival, Vietnamese Classical Dance has been an innate part of Vietnamese culture since ancient times; dating as far back as 600BCE! Traditional dance in Vietnam represent the harmony of Vietnamese cultures and the people, and can take many forms such as: Fan Dance Hat Dance Lotus Flower Dance Umbrella Dance Featuring great skill, traditional dress, and a colourful performance, Vietnamese Classical Dance will have participants amazed at the sight before them."
12492,Indigenous Sounds and Didgeridoo Storytelling,https://education.culturalinfusion.com/school-programs/didgeridoo-mindfulness-journey/,"Community, Corporate, Pre Primary, Schools",VIC,"Music, Storytelling, Wellbeing",Oceania,"Join Dean Frenkel – renowned storyteller, social scientist, and Guinness World Record holder – on an uplifting musical and cultural journey tracing the origins of the didgeridoo back to its scientifically verified birthplace in Australia. In this unique performance, Dean weaves together ancient creation stories, indigenous vocal traditions, and interactive musical demonstrations. The journey moves from Arnhem Land to India, then onward to Siberia, interconnecting global traditions like throat singing, chanting, whistling, and the deep, resonant tones of the didgeridoo. Dean is internationally respected for his mastery of indigenous sound techniques. He was endorsed by the late Djalu Gurriwiwi, the globally revered Yolngu musician and spiritual figure. Dean’s background in anthropology and his work as a social scientist enrich his storytelling with cultural insight and historical depth."
12490,Latin American Dance,https://education.culturalinfusion.com/school-programs/latin-american-dance/,"Assemblies & Events, Community, Schools","ACT, NSW, SA, VIC",Dance,South America,"Latin American Dance introduces students to dances such as Salsa, Cha Cha Cha, Merengue, Bachata and Tango. Latin American Dance explores the history and cultural significance of dance in Latin America. Presenters will use upbeat music and can incorporate the Spanish language as they describe their personal experiences of Latin American cultures. **This workshop can be offered as a solo dancing class or a partner dancing class."
12488,Chinese Ribbon Dance,https://education.culturalinfusion.com/school-programs/chinese-ribbon-dance/,"Community, Pre Primary, Schools",VIC,Dance,Asia,"Chinese Ribbon dance is a traditional art form that originated in the Han and Tang Dynasties. Chinese Ribbon Dance is comprised of long flowing ribbons and choreography to synchronised traditional Chinese music, the audience will be amazed at the colourful and captivating demonstration, and will get the chance to try it themselves!"
12486,Chinese Lantern Dance,https://education.culturalinfusion.com/school-programs/chinese-lantern-dance/,"Community, Pre Primary, Schools",VIC,Dance,Asia,"An ancient form of folk dance first documented in the Eastern Han Dynasty, Chinese Lantern Dance dates back 2,000 years ago and is used to tell stories and traditions of Chinese Culture. Originally used for light and worship, the Lantern has become a symbol of prosperity and honouring ancestors."
12223,Spanish Fiesta,https://education.culturalinfusion.com/school-programs/spanish-fiesta/,"Community, Schools",VIC,"Dance, Music",Europe,"Babushka’s Spanish Fiesta workshop introduces students to Spanish culture and follows with choreographed dance and folkloric music, inspired by the famous Spanish dance – Flamenco. In Spanish Fiesta, students will begin to explore Spanish culture through this colourful, vibrant and interactive program."
12189,Caring for Country,https://education.culturalinfusion.com/school-programs/caring-for-country/,"Community, Schools","QLD, VIC, Virtual",Sustainability,Oceania,"Australian Indigenous communities have long understood the importance of sustainability with traditional knowledge passed down through generations. This practical workshop, Caring for Country allows students to learn about Indigenous sustainability practices including bushfire prevention using fire-stick farming, bush tucker, and predicting rain just by the squawking of the Cockatoo. Through respecting and understanding our environment, we can conserve our earth, respect our wildlife and reduce our carbon footprint – vital for the well-being of future generations."
12190,Aboriginal Storytelling through Art,https://education.culturalinfusion.com/school-programs/aboriginal-storytelling-through-art/,"Community, Pre Primary, Schools","NSW, QLD, VIC, Virtual, WA","Storytelling, Visual Arts",Oceania,"Aboriginal Storytelling through Art is a practical workshop where the presenter will invite the students to learn Aboriginal art symbols for man, woman, child, the land and numerous animals. The presenter creates a story using the symbols and explains how to interpret it to the students. After copying and practising drawing the symbols, the students will get to create and draw their own story (with the presenter’s assistance) using the symbols and techniques they have learned. Aboriginal Storytelling through Art invites students to present their stories to the rest of the group. The cultural experience represents Aboriginal art in a fun and unique way, allowing for a perfect intercultural experience at any age."
12107,Man of a Million Faces,https://education.culturalinfusion.com/school-programs/man-of-a-million-faces/,"Community, Pre Primary, Schools",VIC,Theatre,Europe,"With 20 years of experience as a variety entertainer, travelling across the globe, multi-talented and well-renowned Man of a Million Faces, Chris, brings his own unique style to cultural education. With the choice between a French or Italian-inspired theatre workshop, Chris’ Man of a Million Faces sparks interest in culture, cuisine, language, landmarks and history through the following: Theatre art including Commedia dell’arte Theatre magic Mime art, charades and puppetry with colourful characters Leather mask making"
12103,Bastille Day Exclusive with Chris,https://education.culturalinfusion.com/school-programs/bastille-day-exclusive-with-chris/,"Community, Pre Primary, Schools","VIC, Virtual",Theatre,Europe,"Our July exclusive, Bastille Day with Chris is filled with action, fun and festivities. Renowned variety performer Chris takes students on a journey exploring the culture, history and significance of the French national holiday, Bastille Day. With puppetry, charades, magic tricks, juggling and more, Bastille Day with Chris brings history to life in a highly interactive and engaging workshop. This incursion provides the perfect way to celebrate Bastille Day!"
11565,Polynesian Infusion,https://education.culturalinfusion.com/school-programs/polynesian-infusion/,"Assemblies & Events, Community, Corporate, Pre Primary, Schools","NSW, QLD, VIC","Dance, Music, Storytelling",Oceania,"Polynesian Infusion takes participants on a journey to the Islands with its energetic and enthusiastic performance and interactive workshops. Through a fast-paced combination of music, dance, storytelling and craft, participants will come to know and appreciate the ancient and fascinating cultures of the Pacific. Polynesian Infusion’s talented performers are skilled in a wide variety of musical traditions including drums, ukelele and chanting. Participants will be presented with a traditional dance performance and engaged further with a Hula lesson."
8772,Little Lion Dance,https://education.culturalinfusion.com/school-programs/little-lion-dance/,Pre Primary,"NSW, QLD, WA",Dance,Asia,"Signifying good fortune, prosperity and longevity, the Lion Dance is an art form dating back to the 12th century and is an important part of the Chinese Celebration of the Lunar New Year! Little Lion Dance is a highly colourful and engaging experience that will have young children excited to see the lions up close, learn about the origins, and interact with the presenters!"
597,Les Chansons Françaises,https://education.culturalinfusion.com/school-programs/les-chansons-francais/,"Community, Schools",QLD,Music,Europe,"In Les Chansons Françaises, Pauline shares stories of her Parisienne childhood in an interactive vocal session with songs that explore intercultural understanding. Depending on the age group Pauline will teach students a popular children’s song or a catchy chorus from the Yé-Yé era of the 1960s which they’ll sing accompanied by the band. Students will hear and speak French throughout Les Chansons Françaises and end the session learning to waltz!"
599,Folkloric to Flamenco,https://education.culturalinfusion.com/school-programs/folkloric-to-flamenco/,"Community, Schools",QLD,Music,Multicultural,"Born in France to French and Sephardic-Moroccan parents Pauline Maudy teaches Jewish Sephardic songs with influences from Turkey, Greece and the Balkans reflecting the widespread geography of the diaspora.inFolkloric to Flamenco, John, a Flamenco guitarist, will accompany the songs and teach ‘palmas’, the clapping that is a common accompaniment to Flamenco music. Folkloric to Flamenco can be tailored to Spanish language students."
587,Rhythm of Nepal,https://education.culturalinfusion.com/school-programs/didgeridoo-tabla-talking/,"Assemblies & Events, Community, Schools",QLD,Music,Asia,"Nepalese-born Dheeraj is recognised as the foremost Tabla player in Australia. The Tabla is the quintessential percussion instrument of the Indian subcontinent and one of the most complicated drums to play. The Nepalese percussion instrument, the Madal, is the backbone of Nepalese folk music and is often played while hiking in the mountains of the Himalayas! in Rhythm of Nepal, Dheeraj will demonstrate Nepalese-Indian rhythms and hip-hop vocal percussion. He will also introduce the fastest percussion instrument in the world – the Tabla!"
581,Songs of Uganda,https://education.culturalinfusion.com/school-programs/songs-of-uganda/,"Community, Pre Primary, Schools",QLD,"Dance, Music",Africa,"Songs of Uganda is a workshop from Joseph that centres around his heritage from the Baganda tribe in Uganda. He begins by performing traditional songs in the Baganda language accompanied by the Bakisimba dance and Kidigida rhythms. Students accompany Joseph by singing and learning the rhythms and Songs of Uganda. Instruments used include Engoma (drums), Endingidi (tube fiddle), Amadinda (xylophone) and Adungu (harp)."
567,Wayang Kulit with Sofari and Tom,https://education.culturalinfusion.com/school-programs/wayang-kulit-with-tom-suffling/,"Community, Schools",WA,"Storytelling, Theatre",Asia,"Presented by Tom and Sofari, the Wayang Kulit, is a puppetry performance using traditional hand-carved shadow puppets from Java, Indonesia! The Indonesian words wayang (shadow or ghost) and kulit (leather or skin) define the two-dimensional Puppets that are flat, translucent figures cut out from leather and projected against a screen. The mystical manipulation between the light and screen creates a ‘living’ silhouette, and theatrical storytelling brings to life the ancestral spirits which are said to dwell within the puppets. The Climactic scenes in Wayang Kulit with Sofari and Tom are based on Hindu epics such as the Ramayama cycle. Find out about Indonesian characters and community through this compelling and ghostly medium."
562,Le Gioie Delle Donne,https://education.culturalinfusion.com/school-programs/le-gioie-delle-donne/,"Assemblies & Events, Community, Schools",WA,Music,Europe,"Le Gioie Delle Donne, The Joys of the Women Italian Choir sing joyous folk songs from all regions of Italy. The choir is very proud to keep the Italian culture and heritage alive by sharing a rich and diverse repertoire of songs and music from Italy’s vibrant traditions. Through song, the choir brings to life the warmth of Italian traditions, fostering connection and joy among audiences."
559,Mbira of Zimbabwe,https://education.culturalinfusion.com/school-programs/mbira-of-zimbabwe/,"Community, Pre Primary, Schools",WA,Music,Africa,"The Mbira, sometimes called the ‘thumb piano’ is an African instrument. It has been played by the Shona people of Zimbabwe for over a thousand years! In Mbira of Zimbabwe, George Joe will introduce its origins and history before playing the Mbira and singing some traditional tunes in the Shona language which students will accompany with percussion and singing."
556,Mini Martial Arts,https://education.culturalinfusion.com/school-programs/kung-fu-with-sifu/,Pre Primary,"Virtual, WA","Martial Arts, Wellbeing",Asia,"A child-friendly take on our popular Chinese Martial Arts program, Mini Martial Arts is a highly interactive, fun, and exciting program, ideal for young children under 6. A typical workshop explores the origins and characteristics that Martial Arts is known for; and aims to teach an appreciation of the mind, body, and spirit, through engaging and meaningful activities. Mini Martial Arts can be adapted to different ages and physical abilities, the children will have the opportunity to try out some simple movements and actions for themselves!"
551,Indonesian Infusion,https://education.culturalinfusion.com/school-programs/indonesian-infusion/,"Assemblies & Events, Community, Pre Primary, Schools","ACT, NSW, QLD, VIC, WA","Dance, Languages, Music",Asia,"Indonesian Infusion will take participants on an immersive and interactive journey, showcasing the amazing diversity of the Indonesian community. Through customs, language, dance, traditional dress and music, the presenters explore the islands of Sumatra, Java, Bali and more. This colourful Indonesian Infusion program will give audiences an appreciation and insight into Indonesian culture!"
547,Latino Grooves,https://education.culturalinfusion.com/school-programs/latino-grooves/,"Community, Schools",SA,Music,South America,"Colombian musician Hugo Salcedo teams with Latin dance instructor Julia Gonzalez to present this fun introduction to Latin dance styles like Salsa, Bachata and Brazilian Samba in Latino Grooves! Using traditional as well as contemporary instruments, the duo provide an energetic and insightful music and dance program and can incorporate Spanish language to suit the level of students."
543,Bella Italia,https://education.culturalinfusion.com/school-programs/bella-italia/,"Community, Pre Primary, Schools",SA,"Dance, Languages, Music",Europe,"Explore the unique and vibrant culture of Naples in Italy in Bella Italia! Napoli native Mira takes students through her childhood to learn about this ancient city. In Bella Italia, students will sing along to Neapolitan folk songs and practice traditional folk dances. The Italian language level can be adjusted to the ability of the students."
533,Music of Southern Italy,https://education.culturalinfusion.com/school-programs/music-of-southern-italy/,"Community, Pre Primary, Schools",NSW,Music,Europe,"In this interactive Music of Southern Italy workshop, students will discover the rhythms and sounds of the traditional music styles of southern Italy. The castanettes, the diatonic accordion, the tamburello, the putipu and the ciaramella are some of the instruments that bring energy and melody to this program! Then, with the infectious live music backing them, students will practice the lively folk dance the Tarantella."
531,Tirol Dancing,https://education.culturalinfusion.com/school-programs/tirol-dancers/,"Community, Schools",NSW,Dance,Europe,"Join Rowan for an incredible performance of high-energy, intricate Bavarian folk dances in Tirol Dancing! He will demonstrate various German and Austrian traditional dances such as the Waltz, Polka and Zwiefacher. Students will also have the chance to learn how to do the energetic Schuhplattler– the famous German slap dance. MUSIC – Learning balance, space awareness, coordination – Value dance works from Australia and other societies, cultures and times – Recognise differences in dance works from different times, cultures and societies. SOCIETY & ENVIRONMENT – Ensure that schooling contributes to a socially cohesive society that respects and appreciates cultural, social and religious diversity – Students interact with people and cultures other than their own and are equipped to contribute to the global community. LOTE – Intercultural knowledge and language awareness – Develop an understanding of some of the differences in how people eat and dress, sign and gesture, write and say things – Inspires interest in and respect for other cultures."
529,Viva Mexico – A Cultural Journey,https://education.culturalinfusion.com/school-programs/viva-mexico/,"Assemblies & Events, Community, Pre Primary, Schools",NSW,Music,North America,"In Viva Mexico – A Cultural Journey, our presenter performs with instruments including the Mexican harp, Mexican and Spanish guitars, violin and trumpet. Students will learn folk dances and the meaning of Spanish lyrics found in La Bamba and other popular songs. The presenter will explain the cultural history of the instruments and the Charro suit worn by the Mariachis."
603,Hip-Hop Infusion,https://education.culturalinfusion.com/school-programs/hip-hop-infusion/,"Community, Pre Primary, Schools","NSW, QLD, SA, VIC",Dance,Multicultural,"In Hip-Hop Infusion, the high-energy interactive program, students will discover the significance of hip-hop and urban dance culture around the world. Using a variety of super-danceable beats, our presenters will create an atmosphere that will have all students up and dancing. Hip-Hop Infusion is the perfect introduction to the expressive, powerful world of hip-hop!"
507,Sound of Multicultural Australia Trio,https://education.culturalinfusion.com/school-programs/shohrat-tursun-trio/,"Community, Schools",NSW,Music,Multicultural,"The Sound of Multicultural Australia Trio is a combination of ancient melodies and African rhythms woven into compositions that can only be found in Australia. The Trio comprises Uygu, a world-renowned musician, Yaw, Ghanian elder and percussionist, and Richard, who invites the musicians to share their culture."
482,Aboriginal Infusion,https://education.culturalinfusion.com/school-programs/aboriginal-infusion/,"Community, Pre Primary, Schools","ACT, NSW, QLD, VIC, Virtual, WA","Dance, Music, Storytelling",Oceania,"Aboriginal Infusion is the perfect introduction to Aboriginal and Torres Strait Islander histories and cultures. Students will develop an understanding of the rich and ancient traditions of Australia’s first inhabitants. Aboriginal Infusion is a highly interactive and engaging program that enables students to explore different cultural aspects such as Dance and Didgeridoo, Aboriginal Artefacts and Storytelling. Please note: the exact cultural aspects explored in this program will depend on the presenter’s area/s of specialisation."
365,Riding the Waves,https://education.culturalinfusion.com/school-programs/riding-the-waves/,Schools,VIC,Science,Multicultural,"In Riding the Waves, Venezuelan engineer Ramileth demonstrates the science of telecommunications with experiments in sound and light waves and the electromagnetic spectrum! This program will help students understand how everyday technology like mobile phones actually work – as well as give students insight into what a career in engineering involves. This Science Communicator program is part of a series of school incursions developed to highlight the underpinning role that culture plays in shaping human progress, presented in partnership with the Royal Society of Victoria."
519,Classical Indian Dance,https://education.culturalinfusion.com/school-programs/classical-indian-dance/,"Assemblies & Events, Community, Pre Primary, Schools","NSW, SA, VIC",Dance,Asia,"Immerse your students in the culture of ancient India that is still practised to this day in the workshop Classical Indian Dance. After a fantastic performance set to the sound of classical instruments and Sanskrit chants, students will learn some of the symbolic gestures and movements and the stories they tell."
537,Chinese Fan Dance,https://education.culturalinfusion.com/school-programs/chinese-fan-dance/,"Community, Schools",VIC,Dance,Asia,"A symbol of beauty and grace, Chinese Fan Dance is a colourful captivating workshop that will get students moving with their own fans as they learn all about the Chinese Fan Dance and its origins."
511,Chinese Culture for a Day,https://education.culturalinfusion.com/school-programs/chinese-culture-for-a-day/,"Community, Schools","NSW, QLD, VIC","Dance, Martial Arts, Music, Visual Arts",Asia,"Chinese Culture for a Day incorporates two rotating sessions into one all-day program celebrating diversity in Chinese culture. Our presenters can tailor Chinese Culture for a Day to include Chinese Lion Dance, Martial Arts, a drumming workshop, folk dancing, calligraphy or lantern making."
525,Caribbean Soul,https://education.culturalinfusion.com/school-programs/caribbean-soul/,"Assemblies & Events, Community, Schools",NSW,Music,North America,"From laidback melodies to exciting dance beats, this program introduces students to the musical sounds of the Caribbean and to soca, calypso and reggae music played on their national instrument; the steel drums."
517,Bali in Motion,https://education.culturalinfusion.com/school-programs/bali-in-motion/,"Community, Pre Primary, Schools","NSW, WA","Dance, Music",Asia,"Bali in Motion provides students with the opportunity to experience a true taste of Balinese Cultural activities! Music, dance and the visual arts form a foundation for traditional Balinese life, and myths and legends are incorporated into these arts. In Bali in Motion, your students will participate in a colourful and interactive program, and gain an appreciation for the harmony within the culture."
600,Balkan Beats,https://education.culturalinfusion.com/school-programs/balkan-beats/,"Community, Schools",QLD,Music,Europe,"Embark on a musical journey to Southeastern Europe with an interactive music program suitable for all ages. In Balkan Beats, students can use whatever percussion instruments they have available – Darabuka, Djembe, Bendir, or just clap their hands! As they learn the rhythms of the Turkish and Bulgarian dancers and Macedonian maestros."
